torque,error,status,nano,time
43.9,0.0,0.0,337672634.5,2022-12-17 00:04:51
43.35,0.0,0.0,337359044.5,2022-12-17 00:04:52
42.65,0.0,0.0,337457992.5,2022-12-17 00:04:53
44.1,0.0,0.0,337454358.0,2022-12-17 00:04:54
42.15,0.0,0.0,337420744.5,2022-12-17 00:04:55
44.25,0.0,0.0,337400925.5,2022-12-17 00:04:56
44.05,0.0,0.0,337582563.5,2022-12-17 00:04:57
43.2,0.0,0.0,337538651.0,2022-12-17 00:04:58
44.8,0.0,0.0,337672357.0,2022-12-17 00:04:59
42.650000000000006,0.0,0.0,337705756.5,2022-12-17 00:05:00
42.900000000000006,0.0,0.0,338191037.0,2022-12-17 00:05:01
43.95,0.0,0.0,337888125.5,2022-12-17 00:05:02
41.45,0.0,0.0,338517620.0,2022-12-17 00:05:03
43.5,0.0,0.0,87979491.0,2022-12-17 00:05:04
43.9,0.0,0.0,587425242.0,2022-12-17 00:05:05
42.85,0.0,0.0,338011627.0,2022-12-17 00:05:06
45.0,0.0,0.0,337500459.0,2022-12-17 00:05:07
41.9,0.0,0.0,337561949.0,2022-12-17 00:05:08
43.55,0.0,0.0,337897974.0,2022-12-17 00:05:09
43.5,0.0,0.0,337721857.5,2022-12-17 00:05:10
41.3,0.0,0.0,337749847.5,2022-12-17 00:05:11
44.8,0.0,0.0,337914164.5,2022-12-17 00:05:12
41.35,0.0,0.0,337868618.5,2022-12-17 00:05:13
44.2,0.0,0.0,338009426.5,2022-12-17 00:05:14
44.45,0.0,0.0,338078964.5,2022-12-17 00:05:15
42.15,0.0,0.0,338270020.5,2022-12-17 00:05:16
44.7,0.0,0.0,338669553.0,2022-12-17 00:05:17
41.3,0.0,0.0,337883022.0,2022-12-17 00:05:18
43.150000000000006,0.0,0.0,337815294.0,2022-12-17 00:05:19
44.1,0.0,0.0,337789280.5,2022-12-17 00:05:20
41.2,0.0,0.0,337648331.5,2022-12-17 00:05:21
44.3,0.0,0.0,337824214.5,2022-12-17 00:05:22
42.8,0.0,0.0,337798613.5,2022-12-17 00:05:23
43.35,0.0,0.0,337807466.0,2022-12-17 00:05:24
44.45,0.0,0.0,337907883.0,2022-12-17 00:05:25
41.6,0.0,0.0,337762105.0,2022-12-17 00:05:26
44.1,0.0,0.0,337856470.5,2022-12-17 00:05:27
42.650000000000006,0.0,0.0,337908510.0,2022-12-17 00:05:28
41.4,0.0,0.0,337959057.0,2022-12-17 00:05:29
44.95,0.0,0.0,338095673.5,2022-12-17 00:05:30
42.05,0.0,0.0,338715500.0,2022-12-17 00:05:31
43.5,0.0,0.0,338317154.5,2022-12-17 00:05:32
44.55,0.0,0.0,338284746.0,2022-12-17 00:05:33
41.65,0.0,0.0,337792581.0,2022-12-17 00:05:34
45.5,0.0,0.0,337853519.0,2022-12-17 00:05:35
42.35,0.0,0.0,337940384.5,2022-12-17 00:05:36
43.3,0.0,0.0,337892795.0,2022-12-17 00:05:37
44.2,0.0,0.0,337901281.5,2022-12-17 00:05:38
41.75,0.0,0.0,337874461.0,2022-12-17 00:05:39
45.7,0.0,0.0,338085224.5,2022-12-17 00:05:40
43.0,0.0,0.0,337990443.5,2022-12-17 00:05:41
42.85,0.0,0.0,338185912.5,2022-12-17 00:05:42
44.35,0.0,0.0,338290960.5,2022-12-17 00:05:43
42.05,0.0,0.0,338676842.5,2022-12-17 00:05:44
43.75,0.0,0.0,338970209.0,2022-12-17 00:05:45
43.45,0.0,0.0,337891774.5,2022-12-17 00:05:46
42.6,0.0,0.0,337811924.0,2022-12-17 00:05:47
43.75,0.0,0.0,337975427.5,2022-12-17 00:05:48
42.3,0.0,0.0,338118112.5,2022-12-17 00:05:49
43.2,0.0,0.0,337965589.0,2022-12-17 00:05:50
43.7,0.0,0.0,337956354.0,2022-12-17 00:05:51
41.95,0.0,0.0,338053763.5,2022-12-17 00:05:52
43.75,0.0,0.0,338056886.0,2022-12-17 00:05:53
42.900000000000006,0.0,0.0,338200364.0,2022-12-17 00:05:54
41.55,0.0,0.0,338298141.5,2022-12-17 00:05:55
44.25,0.0,0.0,338277170.5,2022-12-17 00:05:56
40.55,0.0,0.0,338890941.0,2022-12-17 00:05:57
43.55,0.0,0.0,338410319.5,2022-12-17 00:05:58
42.75,0.0,0.0,338269518.0,2022-12-17 00:05:59
42.1,0.0,0.0,337977992.0,2022-12-17 00:06:00
45.95,0.0,0.0,337923175.0,2022-12-17 00:06:01
42.65,0.0,0.0,337930950.5,2022-12-17 00:06:02
44.9,0.0,0.0,338055057.5,2022-12-17 00:06:03
43.9,0.0,0.0,338050994.5,2022-12-17 00:06:04
42.15,0.0,0.0,338035235.0,2022-12-17 00:06:05
44.2,0.0,0.0,338088044.0,2022-12-17 00:06:06
42.45,0.0,0.0,338240157.0,2022-12-17 00:06:07
43.4,0.0,0.0,338105640.5,2022-12-17 00:06:08
43.85,0.0,0.0,338337397.0,2022-12-17 00:06:09
42.75,0.0,0.0,338687297.0,2022-12-17 00:06:10
44.45,0.0,0.0,338776487.0,2022-12-17 00:06:11
